"FilePath","Encoding","EndsWithNewline","EOLType","Error"
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Structures\CWXTDATE_RETURN-CODE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Structures\CWXTDATE_RUN-DATE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Structures\CWXTDATE_YRS-OF-SERVICE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\.settings\org.eclipse.core.resources.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Project.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Interfaces\CWXTSUBC.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Output\CWXTSUBC_Test1.archive","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Output\CWXTSUBC_Test1.log","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Output\History\CWXTSUBC_Test1.sysout.log","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Properties\LaunchConfiguration.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Scenarios\CWXTSUBC_Test1.context","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTSUBC\Tests\Scenarios\CWXTSUBC_Test1.testscenario","UTF-8 (no BOM or ASCII)","False","None",
